ym,AAA,BAA,baa_aaa
1919-01,5.35,7.12,1.7700000000000005
1919-02,5.35,7.2,1.8500000000000005
1919-03,5.39,7.15,1.7600000000000007
1919-04,5.44,7.23,1.79
1919-05,5.39,7.09,1.7000000000000002
1919-06,5.4,7.04,1.6399999999999997
1919-07,5.44,7.06,1.6199999999999992
1919-08,5.56,7.13,1.5700000000000003
1919-09,5.6,7.27,1.67
1919-10,5.54,7.34,1.7999999999999998
1919-11,5.66,7.54,1.88
1919-12,5.73,7.77,2.039999999999999
1920-01,5.75,7.78,2.0300000000000002
1920-02,5.86,7.94,2.08
1920-03,5.92,7.97,2.05
1920-04,6.04,8.17,2.13
1920-05,6.25,8.39,2.1400000000000006
1920-06,6.38,8.39,2.0100000000000007
1920-07,6.34,8.52,2.1799999999999997
1920-08,6.3,8.39,2.0900000000000007
1920-09,6.22,8.14,1.9200000000000008
1920-10,6.05,7.99,1.9400000000000004
1920-11,6.08,8.21,2.130000000000001
1920-12,6.26,8.56,2.3000000000000007
1921-01,6.14,8.5,2.3600000000000003
1921-02,6.08,8.42,2.34
1921-03,6.08,8.55,2.4700000000000006
1921-04,6.06,8.53,2.4699999999999998
1921-05,6.11,8.52,2.4099999999999993
1921-06,6.18,8.56,2.380000000000001
1921-07,6.12,8.48,2.3600000000000003
1921-08,5.99,8.51,2.5199999999999996
1921-09,5.93,8.34,2.41
1921-10,5.84,8.34,2.5
1921-11,5.6,7.88,2.2800000000000002
1921-12,5.5,7.61,2.1100000000000003
1922-01,5.34,7.7,2.3600000000000003
1922-02,5.29,7.55,2.26
1922-03,5.23,7.45,2.2199999999999998
1922-04,5.15,7.14,1.9899999999999993
1922-05,5.13,6.89,1.7599999999999998
1922-06,5.08,6.97,1.8899999999999997
1922-07,5.0,6.89,1.8899999999999997
1922-08,4.96,6.85,1.8899999999999997
1922-09,4.93,6.75,1.8200000000000003
1922-10,4.97,6.78,1.8100000000000005
1922-11,5.09,6.98,1.8900000000000006
1922-12,5.08,7.02,1.9399999999999995
1923-01,5.04,6.98,1.9400000000000004
1923-02,5.07,6.97,1.8999999999999995
1923-03,5.13,7.09,1.96
1923-04,5.22,7.17,1.9500000000000002
1923-05,5.16,7.17,2.01
1923-06,5.15,7.21,2.0599999999999996
1923-07,5.14,7.34,2.2
1923-08,5.08,7.38,2.3
1923-09,5.12,7.38,2.26
1923-10,5.11,7.46,2.3499999999999996
1923-11,5.09,7.4,2.3100000000000005
1923-12,5.09,7.38,2.29
1924-01,5.09,7.24,2.1500000000000004
1924-02,5.09,7.14,2.05
1924-03,5.1,7.08,1.9800000000000004
1924-04,5.08,7.03,1.9500000000000002
1924-05,5.04,6.97,1.9299999999999997
1924-06,4.99,6.82,1.83
1924-07,4.95,6.67,1.7199999999999998
1924-08,4.95,6.69,1.7400000000000002
1924-09,4.95,6.73,1.7800000000000002
1924-10,4.92,6.62,1.7000000000000002
1924-11,4.94,6.54,1.5999999999999996
1924-12,4.95,6.46,1.5099999999999998
1925-01,4.95,6.44,1.4900000000000002
1925-02,4.95,6.36,1.4100000000000001
1925-03,4.91,6.36,1.4500000000000002
1925-04,4.87,6.41,1.54
1925-05,4.83,6.3,1.4699999999999998
1925-06,4.83,6.18,1.3499999999999996
1925-07,4.87,6.2,1.33
1925-08,4.9,6.24,1.3399999999999999
1925-09,4.87,6.2,1.33
1925-10,4.85,6.17,1.3200000000000003
1925-11,4.84,6.17,1.33
1925-12,4.85,6.15,1.3000000000000007
1926-01,4.82,6.09,1.2699999999999996
1926-02,4.77,6.02,1.25
1926-03,4.79,6.05,1.2599999999999998
1926-04,4.74,5.98,1.2400000000000002
1926-05,4.71,5.86,1.1500000000000004
1926-06,4.72,5.8,1.08
1926-07,4.71,5.79,1.08
1926-08,4.72,5.81,1.0899999999999999
1926-09,4.72,5.79,1.0700000000000003
1926-10,4.71,5.81,1.0999999999999996
1926-11,4.68,5.77,1.0899999999999999
1926-12,4.68,5.68,1.0
1927-01,4.66,5.61,0.9500000000000002
1927-02,4.67,5.59,0.9199999999999999
1927-03,4.62,5.54,0.9199999999999999
1927-04,4.58,5.48,0.9000000000000004
1927-05,4.57,5.5,0.9299999999999997
1927-06,4.58,5.55,0.9699999999999998
1927-07,4.6,5.55,0.9500000000000002
1927-08,4.56,5.48,0.9200000000000008
1927-09,4.54,5.42,0.8799999999999999
1927-10,4.51,5.38,0.8700000000000001
1927-11,4.49,5.35,0.8599999999999994
1927-12,4.46,5.32,0.8600000000000003
1928-01,4.46,5.35,0.8899999999999997
1928-02,4.46,5.33,0.8700000000000001
1928-03,4.46,5.32,0.8600000000000003
1928-04,4.46,5.33,0.8700000000000001
1928-05,4.49,5.42,0.9299999999999997
1928-06,4.57,5.55,0.9799999999999995
1928-07,4.61,5.58,0.9699999999999998
1928-08,4.64,5.61,0.9700000000000006
1928-09,4.61,5.59,0.9799999999999995
1928-10,4.61,5.58,0.9699999999999998
1928-11,4.58,5.55,0.9699999999999998
1928-12,4.61,5.6,0.9899999999999993
1929-01,4.62,5.63,1.0099999999999998
1929-02,4.66,5.66,1.0
1929-03,4.7,5.79,1.0899999999999999
1929-04,4.69,5.8,1.1099999999999994
1929-05,4.7,5.8,1.0999999999999996
1929-06,4.77,5.94,1.1700000000000008
1929-07,4.77,5.95,1.1800000000000006
1929-08,4.79,6.04,1.25
1929-09,4.8,6.12,1.3200000000000003
1929-10,4.77,6.11,1.3400000000000007
1929-11,4.76,6.03,1.2700000000000005
1929-12,4.67,5.95,1.2800000000000002
1930-01,4.66,5.92,1.2599999999999998
1930-02,4.69,5.89,1.1999999999999993
1930-03,4.62,5.73,1.1100000000000003
1930-04,4.6,5.7,1.1000000000000005
1930-05,4.6,5.72,1.12
1930-06,4.57,5.78,1.21
1930-07,4.52,5.77,1.25
1930-08,4.47,5.73,1.2600000000000007
1930-09,4.42,5.65,1.2300000000000004
1930-10,4.42,5.94,1.5200000000000005
1930-11,4.47,6.25,1.7800000000000002
1930-12,4.52,6.71,2.1900000000000004
1931-01,4.42,6.41,1.9900000000000002
1931-02,4.43,6.38,1.9500000000000002
1931-03,4.39,6.44,2.0500000000000007
1931-04,4.4,6.72,2.3199999999999994
1931-05,4.37,7.15,2.7800000000000002
1931-06,4.36,7.36,3.0
1931-07,4.36,7.08,2.7199999999999998
1931-08,4.4,7.47,3.0699999999999994
1931-09,4.55,8.07,3.5200000000000005
1931-10,4.99,9.04,4.049999999999999
1931-11,4.94,8.93,3.9899999999999993
1931-12,5.32,10.42,5.1
1932-01,5.2,9.13,3.9300000000000006
1932-02,5.23,8.87,3.639999999999999
1932-03,4.98,8.83,3.8499999999999996
1932-04,5.17,10.46,5.290000000000001
1932-05,5.36,11.0,5.64
1932-06,5.41,11.0,5.59
1932-07,5.26,10.79,5.529999999999999
1932-08,4.91,8.22,3.3100000000000005
1932-09,4.7,7.61,2.91
1932-10,4.64,7.87,3.2300000000000004
1932-11,4.63,8.24,3.6100000000000003
1932-12,4.59,8.42,3.83
1933-01,4.44,8.01,3.5699999999999994
1933-02,4.48,8.37,3.889999999999999
1933-03,4.68,8.91,4.23
1933-04,4.78,9.12,4.339999999999999
1933-05,4.63,7.74,3.1100000000000003
1933-06,4.46,7.07,2.6100000000000003
1933-07,4.36,6.62,2.26
1933-08,4.3,6.77,2.4699999999999998
1933-09,4.36,7.27,2.9099999999999993
1933-10,4.34,7.49,3.1500000000000004
1933-11,4.54,7.98,3.4400000000000004
1933-12,4.5,7.75,3.25
1934-01,4.35,7.01,2.66
1934-02,4.2,6.27,2.0699999999999994
1934-03,4.13,6.26,2.13
1934-04,4.07,6.01,1.9399999999999995
1934-05,4.01,6.05,2.04
1934-06,3.93,6.06,2.1299999999999994
1934-07,3.89,6.13,2.2399999999999998
1934-08,3.93,6.49,2.56
1934-09,3.96,6.57,2.6100000000000003
1934-10,3.9,6.4,2.5000000000000004
1934-11,3.86,6.37,2.5100000000000002
1934-12,3.81,6.23,2.4200000000000004
1935-01,3.77,5.98,2.2100000000000004
1935-02,3.69,5.95,2.2600000000000002
1935-03,3.67,6.2,2.5300000000000002
1935-04,3.66,6.13,2.4699999999999998
1935-05,3.65,5.94,2.2900000000000005
1935-06,3.61,5.77,2.1599999999999997
1935-07,3.56,5.67,2.11
1935-08,3.6,5.58,1.98
1935-09,3.59,5.53,1.9400000000000004
1935-10,3.52,5.54,2.02
1935-11,3.47,5.43,1.9599999999999995
1935-12,3.44,5.3,1.8599999999999999
1936-01,3.37,5.0,1.63
1936-02,3.32,4.8,1.48
1936-03,3.29,4.86,1.5700000000000003
1936-04,3.29,4.91,1.62
1936-05,3.27,4.94,1.6700000000000004
1936-06,3.24,4.9,1.6600000000000001
1936-07,3.23,4.84,1.6099999999999999
1936-08,3.21,4.74,1.5300000000000002
1936-09,3.18,4.62,1.44
1936-10,3.18,4.54,1.3599999999999999
1936-11,3.15,4.52,1.3699999999999997
1936-12,3.1,4.53,1.4300000000000002
1937-01,3.1,4.49,1.3900000000000001
1937-02,3.22,4.53,1.31
1937-03,3.32,4.68,1.3599999999999999
1937-04,3.42,4.84,1.42
1937-05,3.33,4.84,1.5099999999999998
1937-06,3.28,4.93,1.65
1937-07,3.25,4.91,1.6600000000000001
1937-08,3.24,4.92,1.6799999999999997
1937-09,3.28,5.16,1.8800000000000003
1937-10,3.27,5.52,2.2499999999999996
1937-11,3.24,5.82,2.58
1937-12,3.21,5.73,2.5200000000000005
1938-01,3.17,5.89,2.7199999999999998
1938-02,3.2,5.97,2.7699999999999996
1938-03,3.22,6.3,3.0799999999999996
1938-04,3.3,6.47,3.17
1938-05,3.22,6.06,2.8399999999999994
1938-06,3.26,6.25,2.99
1938-07,3.22,5.63,2.4099999999999997
1938-08,3.18,5.49,2.31
1938-09,3.21,5.65,2.4400000000000004
1938-10,3.15,5.36,2.2100000000000004
1938-11,3.1,5.23,2.1300000000000003
1938-12,3.08,5.27,2.1899999999999995
1939-01,3.01,5.12,2.1100000000000003
1939-02,3.0,5.05,2.05
1939-03,2.99,4.89,1.8999999999999995
1939-04,3.02,5.15,2.1300000000000003
1939-05,2.97,5.07,2.1
1939-06,2.92,4.91,1.9900000000000002
1939-07,2.89,4.84,1.9499999999999997
1939-08,2.93,4.85,1.9199999999999995
1939-09,3.25,5.0,1.75
1939-10,3.15,4.88,1.73
1939-11,3.0,4.85,1.8499999999999996
1939-12,2.94,4.92,1.98
1940-01,2.88,4.86,1.9800000000000004
1940-02,2.86,4.83,1.9700000000000002
1940-03,2.84,4.8,1.96
1940-04,2.82,4.74,1.9200000000000004
1940-05,2.93,4.94,2.0100000000000002
1940-06,2.96,5.11,2.1500000000000004
1940-07,2.88,4.8,1.92
1940-08,2.85,4.76,1.9099999999999997
1940-09,2.82,4.66,1.8400000000000003
1940-10,2.79,4.56,1.7699999999999996
1940-11,2.75,4.48,1.7300000000000004
1940-12,2.71,4.45,1.7400000000000002
1941-01,2.75,4.38,1.63
1941-02,2.78,4.42,1.6400000000000001
1941-03,2.8,4.38,1.58
1941-04,2.82,4.33,1.5100000000000002
1941-05,2.81,4.32,1.5100000000000002
1941-06,2.77,4.31,1.5399999999999996
1941-07,2.74,4.28,1.54
1941-08,2.74,4.27,1.5299999999999994
1941-09,2.75,4.3,1.5499999999999998
1941-10,2.73,4.28,1.5500000000000003
1941-11,2.72,4.28,1.56
1941-12,2.8,4.38,1.58
1942-01,2.83,4.29,1.46
1942-02,2.85,4.29,1.44
1942-03,2.86,4.3,1.44
1942-04,2.83,4.26,1.4299999999999997
1942-05,2.85,4.27,1.4199999999999995
1942-06,2.85,4.33,1.48
1942-07,2.83,4.3,1.4699999999999998
1942-08,2.81,4.28,1.4700000000000002
1942-09,2.8,4.26,1.46
1942-10,2.8,4.24,1.4400000000000004
