ym,curve_inverted
1970-01,0
1970-02,0
1970-03,0
1970-04,0
1970-05,0
1970-06,0
1970-07,0
1970-08,0
1970-09,0
1970-10,0
1970-11,0
1970-12,0
1971-01,0
1971-02,0
1971-03,0
1971-04,0
1971-05,0
1971-06,0
1971-07,0
1971-08,0
1971-09,0
1971-10,0
1971-11,0
1971-12,0
1972-01,0
1972-02,0
1972-03,0
1972-04,0
1972-05,0
1972-06,0
1972-07,0
1972-08,0
1972-09,0
1972-10,0
1972-11,0
1972-12,0
1973-01,0
1973-02,0
1973-03,0
1973-04,0
1973-05,0
1973-06,1
1973-07,1
1973-08,1
1973-09,1
1973-10,1
1973-11,1
1973-12,1
1974-01,1
1974-02,1
1974-03,1
1974-04,1
1974-05,1
1974-06,1
1974-07,1
1974-08,1
1974-09,1
1974-10,1
1974-11,1
1974-12,1
1975-01,0
1975-02,0
1975-03,0
1975-04,0
1975-05,0
1975-06,0
1975-07,0
1975-08,0
1975-09,0
1975-10,0
1975-11,0
1975-12,0
1976-01,0
1976-02,0
1976-03,0
1976-04,0
1976-05,0
1976-06,0
1976-07,0
1976-08,0
1976-09,0
1976-10,0
1976-11,0
1976-12,0
1977-01,0
1977-02,0
1977-03,0
1977-04,0
1977-05,0
1977-06,0
1977-07,0
1977-08,0
1977-09,0
1977-10,0
1977-11,0
1977-12,0
1978-01,0
1978-02,0
1978-03,0
1978-04,0
1978-05,0
1978-06,0
1978-07,0
1978-08,0
1978-09,0
1978-10,0
1978-11,1
1978-12,1
1979-01,1
1979-02,1
1979-03,1
1979-04,1
1979-05,1
1979-06,1
1979-07,1
1979-08,1
1979-09,1
1979-10,1
1979-11,1
1979-12,1
1980-01,1
1980-02,1
1980-03,1
1980-04,1
1980-05,0
1980-06,0
1980-07,0
1980-08,0
1980-09,1
1980-10,1
1980-11,1
1980-12,1
1981-01,1
1981-02,1
1981-03,1
1981-04,1
1981-05,1
1981-06,1
1981-07,1
1981-08,1
1981-09,1
1981-10,1
1981-11,0
1981-12,0
1982-01,0
1982-02,0
1982-03,0
1982-04,0
1982-05,0
1982-06,0
1982-07,0
1982-08,0
1982-09,0
1982-10,0
1982-11,0
1982-12,0
1983-01,0
1983-02,0
1983-03,0
1983-04,0
1983-05,0
1983-06,0
1983-07,0
1983-08,0
1983-09,0
1983-10,0
1983-11,0
1983-12,0
1984-01,0
1984-02,0
1984-03,0
1984-04,0
1984-05,0
1984-06,0
1984-07,0
1984-08,0
1984-09,0
1984-10,0
1984-11,0
1984-12,0
1985-01,0
1985-02,0
1985-03,0
1985-04,0
1985-05,0
1985-06,0
1985-07,0
1985-08,0
1985-09,0
1985-10,0
1985-11,0
1985-12,0
1986-01,0
1986-02,0
1986-03,0
1986-04,0
1986-05,0
1986-06,0
1986-07,0
1986-08,0
1986-09,0
1986-10,0
1986-11,0
1986-12,0
1987-01,0
1987-02,0
1987-03,0
1987-04,0
1987-05,0
1987-06,0
1987-07,0
1987-08,0
1987-09,0
1987-10,0
1987-11,0
1987-12,0
1988-01,0
1988-02,0
1988-03,0
1988-04,0
1988-05,0
1988-06,0
1988-07,0
1988-08,0
1988-09,0
1988-10,0
1988-11,0
1988-12,0
1989-01,1
1989-02,1
1989-03,1
1989-04,1
1989-05,1
1989-06,1
1989-07,1
1989-08,1
1989-09,1
1989-10,1
1989-11,1
1989-12,1
1990-01,0
1990-02,0
1990-03,0
1990-04,0
1990-05,0
1990-06,0
1990-07,0
1990-08,0
1990-09,0
1990-10,0
1990-11,0
1990-12,0
1991-01,0
1991-02,0
1991-03,0
1991-04,0
1991-05,0
1991-06,0
1991-07,0
1991-08,0
1991-09,0
1991-10,0
1991-11,0
1991-12,0
