ym,code,evidence
1970-02,1,"1970衰退,FF由~9%降至1971年~4%; Burns寬鬆"
1972-03,-1,"1972起收緊,FF升至1974年13%; 石油危機通脹"
1974-09,1,"1974股災後急寬鬆,FF 13%→1976年~5%"
1977-01,-1,"1977-79再收緊; 1979-10 Volcker震撼,FF升至20%"
1980-05,1,"信貸管制衰退,FF 17.6%→9%急降"
1980-08,-1,"重啟緊縮,FF回至19-20%"
1981-08,1,"Volcker轉向,FF 19%→1982年底8.5%; 1983前寬鬆"
1983-03,-1,"1983-84收緊,FF 8.5%→11.6%"
1984-10,1,"1984-86寬鬆,FF 11.5%→5.9%; Plaza協議"
1987-04,-1,1987收緊+9月貼現率上調(股災前)
1987-11,1,股災後注入流動性
1988-03,-1,"1988-89收緊,FF升至9.75%(1989-03)"
1989-06,1,"1989-92長寬鬆,FF 9.8%→3.0%"
1994-02,-1,"1994債災年,FF 3%→6%"
1995-07,1,1995-96微調減息3次至5.25%
1996-02,0,長期按兵(1997-03一次加息除外)
1998-09,1,"LTCM/亞洲金融風暴,連減3次"
1999-06,-1,"1999-2000收緊,FF 4.75%→6.5%"
2001-01,1,"科網爆破急寬鬆,6.5%→1.0%(2003-06)"
2004-06,-1,"measured pace加息,1%→5.25%(2006-06)"
2006-07,0,高原暫停
2007-09,1,次貸危機減息→0-0.25%+QE1/2/3(2008-2013)
2014-01,0,"Taper開始(2013-12宣布),2015維持零利率"
2015-12,-1,首次加息
2016-02,0,暫停(全年僅12月一次)
2016-12,-1,[07表]加息週期2016/12-2018/12+QT
2019-01,0,[07表]Powell保持耐性
2019-08,1,[07表]2019×3減息;2020/3緊急至零+無限QE
2021-11,0,[07表]Taper開始
2022-03,-1,[07表]激進加息+525bp+QT
2023-08,0,[07表]higher for longer高原
2024-09,1,"[07表]2024/9,11,12三次減息"
2025-01,0,[07表]關稅不確定性暫停
2025-09,1,[07表]恢復減息+寬鬆傾向
2026-06,-1,"[07表]鷹轉:Warsh移除寬鬆傾向,9月加息定價64%"
