date,indicator,warn_type
2016-08-15,hyoas_peak_falloff,BOTTOM
2016-09-13,score_break70,TOP
2016-10-05,hyoas_peak_falloff,BOTTOM
2016-10-13,score_break70,TOP
2016-11-01,breadth_break_first,TOP
2016-11-01,score_break70,TOP
2016-11-02,vix_hyoas_double,TOP
2016-11-21,hyoas_peak_falloff,BOTTOM
2016-12-01,score_break70,TOP
2017-01-04,score_break70,TOP
2017-03-24,score_break70,TOP
2017-04-13,score_break70,TOP
2017-08-17,vix_hyoas_double,TOP
2017-10-31,breadth_top_divergence,TOP
2017-11-15,hyoas_widen50,TOP
2017-11-15,vix_hyoas_double,TOP
2018-02-05,score_break70,TOP
2018-02-09,vix_hyoas_double,TOP
2018-02-14,breadth_break_first,TOP
2018-03-01,breadth_break_first,TOP
2018-03-02,vix_hyoas_double,TOP
2018-03-09,breadth_top_divergence,TOP
2018-03-20,breadth_break_first,TOP
2018-03-22,score_break70,TOP
2018-04-17,breadth_break_first,TOP
2018-04-24,score_break70,TOP
2018-04-30,score_break70,TOP
2018-05-03,score_break70,TOP
2018-05-07,breadth_break_first,TOP
2018-05-14,breadth_break_first,TOP
2018-06-04,breadth_top_divergence,TOP
2018-06-26,breadth_break_first,TOP
2018-07-03,breadth_break_first,TOP
2018-09-11,breadth_break_first,TOP
2018-09-14,breadth_break_first,TOP
2018-10-05,breadth_break_first,TOP
2018-10-10,score_break70,TOP
2018-10-17,breadth_break_first,TOP
2018-10-18,score_break70,TOP
2018-10-23,vix_hyoas_double,TOP
2018-11-01,hyoas_widen50,TOP
2018-11-01,score_recover45,BOTTOM
2018-11-08,score_break70,TOP
2018-11-14,vix_hyoas_double,TOP
2018-11-30,score_recover45,BOTTOM
2018-12-07,vix_hyoas_double,TOP
2018-12-17,vix_hyoas_double,TOP
2019-01-07,hyoas_peak_falloff,BOTTOM
2019-01-15,breadth_washout_recovery,BOTTOM
2019-01-17,score_recover45,BOTTOM
2019-01-30,score_recover45,BOTTOM
2019-02-12,hyoas_peak_falloff,BOTTOM
2019-02-19,breadth_top_divergence,TOP
2019-02-20,hyoas_peak_falloff,BOTTOM
2019-02-26,hyoas_peak_falloff,BOTTOM
2019-05-13,hyoas_widen50,TOP
2019-05-13,score_break70,TOP
2019-05-13,vix_hyoas_double,TOP
2019-05-15,hyoas_widen50,TOP
2019-05-23,score_break70,TOP
2019-05-23,vix_hyoas_double,TOP
2019-05-30,hyoas_widen50,TOP
2019-05-31,vix_hyoas_double,TOP
2019-06-05,hyoas_widen50,TOP
2019-06-10,breadth_break_first,TOP
2019-06-10,hyoas_peak_falloff,BOTTOM
2019-06-25,hyoas_peak_falloff,BOTTOM
2019-07-02,hyoas_peak_falloff,BOTTOM
2019-08-05,hyoas_widen50,TOP
2019-08-05,score_break70,TOP
2019-08-05,vix_hyoas_double,TOP
2019-08-07,hyoas_widen50,TOP
2019-08-12,vix_hyoas_double,TOP
2019-08-14,score_break70,TOP
2019-08-14,vix_hyoas_double,TOP
2019-08-20,vix_hyoas_double,TOP
2019-08-22,hyoas_peak_falloff,BOTTOM
2019-08-23,vix_hyoas_double,TOP
2019-08-29,hyoas_peak_falloff,BOTTOM
2019-09-05,hyoas_peak_falloff,BOTTOM
2019-10-03,breadth_break_first,TOP
2019-10-08,vix_hyoas_double,TOP
2019-10-09,breadth_break_first,TOP
2019-10-15,hyoas_peak_falloff,BOTTOM
2019-10-18,hyoas_peak_falloff,BOTTOM
2019-10-25,breadth_top_divergence,TOP
2020-01-27,vix_hyoas_double,TOP
2020-01-31,vix_hyoas_double,TOP
2020-02-24,score_break70,TOP
2020-02-24,vix_hyoas_double,TOP
2020-02-26,vix_hyoas_double,TOP
2020-03-04,hyoas_widen50,TOP
2020-03-10,score_recover45,BOTTOM
2020-03-26,hyoas_peak_falloff,BOTTOM
