date,indicator,warn_type
1976-05-31,s_CREDIT,BOTTOM
1979-04-30,s_CREDIT,TOP
1983-07-31,s_CREDIT,BOTTOM
1984-10-31,s_CREDIT,BOTTOM
1985-10-31,s_CREDIT,BOTTOM
1986-05-31,s_CREDIT,BOTTOM
1986-09-30,s_CREDIT,BOTTOM
1987-02-28,s_CREDIT,BOTTOM
1988-11-30,s_CREDIT,TOP
1989-12-31,s_CREDIT,TOP
1990-06-30,s_CREDIT,TOP
1991-02-28,s_CREDIT,BOTTOM
1991-11-30,s_CREDIT,TOP
1998-11-30,s_CREDIT,TOP
1999-02-28,s_CREDIT,BOTTOM
2001-12-31,s_CREDIT,TOP
2002-04-30,s_CREDIT,BOTTOM
2002-06-30,s_CREDIT,BOTTOM
2002-08-31,s_CREDIT,BOTTOM
2002-11-30,s_CREDIT,BOTTOM
2005-06-30,s_CREDIT,TOP
2007-03-31,s_CREDIT,TOP
2007-11-30,s_CREDIT,TOP
2009-08-31,s_CREDIT,BOTTOM
2010-07-31,s_CREDIT,BOTTOM
2011-08-31,s_CREDIT,TOP
2012-02-29,s_CREDIT,BOTTOM
2012-09-30,s_CREDIT,BOTTOM
2013-07-31,s_CREDIT,TOP
2014-11-30,s_CREDIT,TOP
2015-02-28,s_CREDIT,BOTTOM
2015-07-31,s_CREDIT,TOP
2016-03-31,s_CREDIT,BOTTOM
2018-07-31,s_CREDIT,TOP
2018-11-30,s_CREDIT,TOP
2019-06-30,s_CREDIT,BOTTOM
2020-11-30,s_CREDIT,BOTTOM
2021-10-31,s_CREDIT,BOTTOM
2021-12-31,s_CREDIT,BOTTOM
2022-03-31,s_CREDIT,BOTTOM
2022-11-30,s_CREDIT,BOTTOM
2023-01-31,s_CREDIT,BOTTOM
2024-01-31,s_CREDIT,TOP
2025-03-31,s_CREDIT,TOP
1978-11-30,s_CURVE,TOP
1980-09-30,s_CURVE,TOP
1989-01-31,s_CURVE,TOP
2000-04-30,s_CURVE,TOP
2006-07-31,s_CURVE,TOP
2019-05-31,s_CURVE,TOP
2022-10-31,s_CURVE,TOP
1977-11-30,s_INFL,TOP
1983-11-30,s_INFL,TOP
1985-07-31,s_INFL,TOP
1985-11-30,s_INFL,TOP
1986-08-31,s_INFL,TOP
1987-05-31,s_INFL,TOP
1987-09-30,s_INFL,TOP
1989-10-31,s_INFL,TOP
2021-06-30,s_INFL,TOP
1977-01-31,s_POLICY,TOP
1980-05-31,s_POLICY,BOTTOM
1980-08-31,s_POLICY,TOP
1981-08-31,s_POLICY,BOTTOM
1983-03-31,s_POLICY,TOP
1984-10-31,s_POLICY,BOTTOM
1987-04-30,s_POLICY,TOP
1987-11-30,s_POLICY,BOTTOM
1988-03-31,s_POLICY,TOP
1989-06-30,s_POLICY,BOTTOM
1994-02-28,s_POLICY,TOP
1995-07-31,s_POLICY,BOTTOM
1998-09-30,s_POLICY,BOTTOM
1999-06-30,s_POLICY,TOP
2001-01-31,s_POLICY,BOTTOM
2004-06-30,s_POLICY,TOP
2007-09-30,s_POLICY,BOTTOM
2015-12-31,s_POLICY,TOP
2016-12-31,s_POLICY,TOP
2019-08-31,s_POLICY,BOTTOM
2022-03-31,s_POLICY,TOP
2024-09-30,s_POLICY,BOTTOM
2025-09-30,s_POLICY,BOTTOM
2026-06-30,s_POLICY,TOP
1980-03-31,s_VOL,TOP
1987-01-31,s_VOL,TOP
1987-10-31,s_VOL,TOP
1998-08-31,s_VOL,TOP
2001-04-30,s_VOL,TOP
2002-11-30,s_VOL,TOP
2008-10-31,s_VOL,TOP
2008-12-31,s_VOL,TOP
2009-03-31,s_VOL,TOP
2010-10-31,s_VOL,TOP
2020-04-30,s_VOL,TOP
2022-10-31,s_VOL,TOP
2026-05-31,s_VOL,TOP
1976-10-31,score,TOP
1977-02-28,score,TOP
1978-03-31,score,BOTTOM
1978-06-30,score,TOP
1978-10-31,score,TOP
1979-11-30,score,BOTTOM
1980-05-31,score,BOTTOM
1981-11-30,score,BOTTOM
1982-04-30,score,BOTTOM
1982-08-31,score,BOTTOM
1983-03-31,score,TOP
1983-12-31,score,TOP
1984-08-31,score,BOTTOM
1985-09-30,score,TOP
1986-09-30,score,TOP
1986-12-31,score,TOP
1987-05-31,score,TOP
1987-10-31,score,TOP
1987-12-31,score,BOTTOM
1988-05-31,score,BOTTOM
1989-01-31,score,TOP
1990-01-31,score,TOP
1990-04-30,score,TOP
1990-08-31,score,TOP
1994-03-31,score,TOP
1994-05-31,score,TOP
1994-09-30,score,TOP
1994-11-30,score,TOP
1998-08-31,score,TOP
2000-05-31,score,TOP
2000-07-31,score,TOP
2000-09-30,score,TOP
2001-01-31,score,BOTTOM
2002-03-31,score,BOTTOM
2002-08-31,score,BOTTOM
2002-11-30,score,BOTTOM
2005-10-31,score,TOP
2006-07-31,score,TOP
2007-07-31,score,TOP
2008-01-31,score,TOP
2008-05-31,score,BOTTOM
2009-05-31,score,BOTTOM
2010-06-30,score,TOP
2010-08-31,score,TOP
2011-08-31,score,TOP
2015-01-31,score,TOP
2015-08-31,score,TOP
2016-03-31,score,BOTTOM
2018-11-30,score,TOP
2019-05-31,score,TOP
2020-02-29,score,TOP
2020-05-31,score,BOTTOM
2021-11-30,score,TOP
2022-01-31,score,TOP
2023-04-30,score,BOTTOM
2023-09-30,score,TOP
2025-03-31,score,TOP
