date,indicator,warn_type
1999-04-26,rsi14_top_div,TOP
1999-09-10,rsi14_top_div,TOP
1999-12-02,rsi14_top_div,TOP
1999-12-03,rsi14_top_div,TOP
1999-12-06,rsi14_top_div,TOP
1999-12-07,rsi14_top_div,TOP
2000-01-05,dd52w_cross_6,TOP
2000-01-12,dd52w_cross_6,TOP
2000-01-19,rsi14_top_div,TOP
2000-01-20,rsi14_top_div,TOP
2000-01-21,rsi14_top_div,TOP
2000-01-28,dd52w_cross_6,TOP
2000-02-04,rsi14_top_div,TOP
2000-02-07,rsi14_top_div,TOP
2000-02-23,rsi14_top_div,TOP
2000-03-14,dd52w_cross_6,TOP
2000-03-20,dd52w_cross_6,TOP
2000-03-29,dd52w_cross_6,TOP
2000-04-14,close_x_sma200,TOP
2000-04-17,close_x_sma200,BOTTOM
2000-04-24,close_x_sma200,TOP
2000-04-25,close_x_sma200,BOTTOM
2000-05-10,close_x_sma200,TOP
2000-05-15,close_x_sma200,BOTTOM
2000-05-18,close_x_sma200,TOP
2000-05-23,rsi14_bot_div,BOTTOM
2000-06-02,close_x_sma200,BOTTOM
2000-06-09,wk10_40_cross,TOP
2000-07-27,close_x_sma200,TOP
2000-08-23,close_x_sma200,BOTTOM
2000-09-08,close_x_sma200,TOP
2000-10-11,sma200_slope_neg,TOP
2000-11-10,rsi14_bot_div,BOTTOM
2000-11-13,rsi14_bot_div,BOTTOM
2000-11-20,rsi14_bot_div,BOTTOM
2000-11-21,rsi14_bot_div,BOTTOM
2000-11-22,rsi14_bot_div,BOTTOM
2000-12-19,rsi14_bot_div,BOTTOM
2000-12-29,sma5_10_cross,BOTTOM
2001-01-02,rsi14_bot_div,BOTTOM
2001-01-09,sma5_10_cross,BOTTOM
2001-03-28,sma5_10_cross,BOTTOM
2001-03-29,rsi14_bot_div,BOTTOM
2001-04-02,rsi14_bot_div,BOTTOM
2001-10-03,sma5_10_cross,BOTTOM
2001-12-04,close_x_sma200,BOTTOM
2001-12-04,rsi14_top_div,TOP
2001-12-20,close_x_sma200,TOP
2001-12-21,close_x_sma200,BOTTOM
2002-01-04,rsi14_top_div,TOP
2002-01-11,wk10_40_cross,BOTTOM
2002-01-18,close_x_sma200,TOP
2002-01-24,close_x_sma200,BOTTOM
2002-01-29,close_x_sma200,TOP
2002-02-13,sma200_slope_neg,TOP
2002-03-08,close_x_sma200,BOTTOM
2002-03-12,close_x_sma200,TOP
2002-03-15,wk10_40_cross,TOP
2002-04-24,rsi14_bot_div,BOTTOM
2002-06-03,rsi14_bot_div,BOTTOM
2002-06-06,rsi14_bot_div,BOTTOM
2002-06-07,rsi14_bot_div,BOTTOM
2002-06-10,rsi14_bot_div,BOTTOM
2002-06-11,rsi14_bot_div,BOTTOM
2002-06-13,rsi14_bot_div,BOTTOM
2002-07-10,rsi14_bot_div,BOTTOM
2002-07-19,rsi14_bot_div,BOTTOM
2002-07-22,rsi14_bot_div,BOTTOM
2002-07-31,sma5_10_cross,BOTTOM
2002-08-05,rsi14_bot_div,BOTTOM
2002-08-12,sma5_10_cross,BOTTOM
2002-09-12,sma5_10_cross,BOTTOM
2002-09-13,macd_wk_hist,BOTTOM
2002-10-03,rsi14_bot_div,BOTTOM
2002-10-14,sma5_10_cross,BOTTOM
2003-01-09,close_x_sma200,BOTTOM
2003-01-16,close_x_sma200,TOP
2003-01-24,wk10_40_cross,BOTTOM
2003-01-31,wk10_40_cross,TOP
2003-03-11,rsi14_bot_div,BOTTOM
2003-03-17,close_x_sma200,BOTTOM
2003-03-31,close_x_sma200,TOP
2003-04-01,close_x_sma200,BOTTOM
2003-04-04,wk10_40_cross,BOTTOM
2003-05-27,rsi14_top_div,TOP
2003-05-28,rsi14_top_div,TOP
2003-06-16,rsi14_top_div,TOP
2003-06-17,rsi14_top_div,TOP
2003-06-18,rsi14_top_div,TOP
2003-06-24,sma5_10_cross,TOP
2003-07-02,rsi14_top_div,TOP
2003-07-18,sma5_10_cross,TOP
2003-08-05,sma5_10_cross,TOP
2003-08-08,dd52w_cross_6,TOP
2003-08-19,rsi14_top_div,TOP
2003-09-15,sma5_10_cross,TOP
2003-09-18,rsi14_top_div,TOP
2003-09-25,sma5_10_cross,TOP
2003-09-26,dd52w_cross_6,TOP
2003-09-30,dd52w_cross_6,TOP
2003-10-09,rsi14_top_div,TOP
2003-10-10,rsi14_top_div,TOP
2003-10-13,rsi14_top_div,TOP
2003-10-14,rsi14_top_div,TOP
2003-10-16,rsi14_top_div,TOP
2003-10-22,sma5_10_cross,TOP
2003-11-03,rsi14_top_div,TOP
2003-11-13,sma5_10_cross,TOP
2003-11-21,macd_wk_hist,TOP
2003-12-09,sma5_10_cross,TOP
2004-01-26,rsi14_top_div,TOP
2004-01-28,sma5_10_cross,TOP
2004-02-04,dd52w_cross_6,TOP
2004-02-13,macd_wk_hist,TOP
2004-02-23,dd52w_cross_6,TOP
2004-03-08,dd52w_cross_6,TOP
2004-04-15,dd52w_cross_6,TOP
2004-04-28,dd52w_cross_6,TOP
2004-04-30,close_x_sma200,TOP
