date,indicator,warn_type
2003-11-18,distribution_cluster,TOP
2003-11-20,distribution_cluster,TOP
2003-12-03,distribution_cluster,TOP
2003-12-31,distribution_cluster,TOP
2004-02-04,distribution_cluster,TOP
2004-02-23,distribution_cluster,TOP
2004-03-09,distribution_cluster,TOP
2004-03-12,distribution_cluster,TOP
2004-03-29,distribution_cluster,TOP
2004-04-21,distribution_cluster,TOP
2004-05-27,distribution_cluster,TOP
2004-06-09,distribution_cluster,TOP
2004-06-15,distribution_cluster,TOP
2004-06-17,distribution_cluster,TOP
2004-12-17,distribution_cluster,TOP
2004-12-27,distribution_cluster,TOP
2005-01-03,distribution_cluster,TOP
2005-02-22,distribution_cluster,TOP
2005-03-15,distribution_cluster,TOP
2005-03-30,distribution_cluster,TOP
2005-04-07,distribution_cluster,TOP
2005-04-12,distribution_cluster,TOP
2005-05-17,distribution_cluster,TOP
2005-09-13,distribution_cluster,TOP
2005-09-20,distribution_cluster,TOP
2005-09-27,distribution_cluster,TOP
2005-10-04,distribution_cluster,TOP
2005-10-06,distribution_cluster,TOP
2005-10-13,distribution_cluster,TOP
2005-11-29,distribution_cluster,TOP
2005-12-30,distribution_cluster,TOP
2006-02-09,distribution_cluster,TOP
2006-02-28,distribution_cluster,TOP
2006-03-03,distribution_cluster,TOP
2006-04-20,distribution_cluster,TOP
2006-05-09,distribution_cluster,TOP
2006-05-19,distribution_cluster,TOP
2006-05-25,distribution_cluster,TOP
2006-06-01,distribution_cluster,TOP
2006-07-03,distribution_cluster,TOP
2006-11-01,distribution_cluster,TOP
2006-11-09,distribution_cluster,TOP
2006-12-29,distribution_cluster,TOP
2007-01-18,distribution_cluster,TOP
2007-01-25,distribution_cluster,TOP
2007-03-16,distribution_cluster,TOP
2007-03-28,distribution_cluster,TOP
2007-05-14,distribution_cluster,TOP
2007-07-10,distribution_cluster,TOP
2007-07-20,distribution_cluster,TOP
2007-08-17,distribution_cluster,TOP
2007-08-29,distribution_cluster,TOP
2007-10-16,distribution_cluster,TOP
2007-10-19,distribution_cluster,TOP
2007-11-13,distribution_cluster,TOP
2007-11-16,distribution_cluster,TOP
2007-12-11,distribution_cluster,TOP
2007-12-31,distribution_cluster,TOP
2009-10-21,distribution_cluster,TOP
2009-12-15,distribution_cluster,TOP
2010-01-28,distribution_cluster,TOP
2010-02-05,distribution_cluster,TOP
2010-02-09,distribution_cluster,TOP
2010-05-14,distribution_cluster,TOP
2010-09-22,distribution_cluster,TOP
2010-11-30,distribution_cluster,TOP
2011-02-22,distribution_cluster,TOP
2011-03-01,distribution_cluster,TOP
2011-05-16,distribution_cluster,TOP
2011-05-20,distribution_cluster,TOP
2011-06-14,distribution_cluster,TOP
2011-06-21,distribution_cluster,TOP
2011-07-29,distribution_cluster,TOP
2011-08-02,distribution_cluster,TOP
2011-10-18,distribution_cluster,TOP
2011-10-24,distribution_cluster,TOP
2011-10-26,distribution_cluster,TOP
2012-01-03,distribution_cluster,TOP
2012-04-18,distribution_cluster,TOP
2012-06-15,distribution_cluster,TOP
2012-06-22,distribution_cluster,TOP
2012-06-29,distribution_cluster,TOP
2012-07-10,distribution_cluster,TOP
2012-07-13,distribution_cluster,TOP
2012-07-26,distribution_cluster,TOP
2012-08-21,distribution_cluster,TOP
2012-10-18,distribution_cluster,TOP
2012-11-23,distribution_cluster,TOP
2013-03-19,distribution_cluster,TOP
2013-04-05,distribution_cluster,TOP
2013-06-20,distribution_cluster,TOP
2013-10-15,distribution_cluster,TOP
2014-01-06,distribution_cluster,TOP
2014-01-13,distribution_cluster,TOP
2014-01-23,distribution_cluster,TOP
2014-03-19,distribution_cluster,TOP
2014-04-14,distribution_cluster,TOP
2014-08-07,distribution_cluster,TOP
2014-09-25,distribution_cluster,TOP
2014-10-17,distribution_cluster,TOP
2014-12-30,distribution_cluster,TOP
2015-01-27,distribution_cluster,TOP
2015-03-03,distribution_cluster,TOP
2015-03-25,distribution_cluster,TOP
2015-04-14,distribution_cluster,TOP
2015-04-17,distribution_cluster,TOP
2015-05-29,distribution_cluster,TOP
2015-06-26,distribution_cluster,TOP
2015-07-24,distribution_cluster,TOP
2015-08-20,distribution_cluster,TOP
2015-08-27,distribution_cluster,TOP
2015-09-08,distribution_cluster,TOP
2015-09-11,distribution_cluster,TOP
2015-10-08,distribution_cluster,TOP
2015-10-15,distribution_cluster,TOP
2015-12-02,distribution_cluster,TOP
2016-04-27,distribution_cluster,TOP
2016-05-02,distribution_cluster,TOP
2016-05-10,distribution_cluster,TOP
2016-05-24,distribution_cluster,TOP
1999-11-26,newhigh_low_volume,TOP
1999-12-29,newhigh_low_volume,TOP
2003-08-27,newhigh_low_volume,TOP
2003-12-29,newhigh_low_volume,TOP
2004-12-28,newhigh_low_volume,TOP
2005-11-11,newhigh_low_volume,TOP
2006-09-01,newhigh_low_volume,TOP
2006-10-09,newhigh_low_volume,TOP
2006-11-22,newhigh_low_volume,TOP
2007-07-03,newhigh_low_volume,TOP
2007-10-02,newhigh_low_volume,TOP
2008-05-12,newhigh_low_volume,TOP
2009-04-13,newhigh_low_volume,TOP
2009-07-17,newhigh_low_volume,TOP
