ym,spx,flag
2018-12,2506.85,documented
2019-01,2704.1,documented
2019-02,2784.49,documented
2019-03,2834.4,documented
2019-04,2945.83,documented
2019-05,2752.06,documented
2019-06,2941.76,documented
2019-07,2980.38,documented
2019-08,2926.46,documented
2019-09,2976.74,documented
2019-10,3037.56,documented
2019-11,3140.98,documented
2019-12,3230.78,documented
2020-01,3225.52,documented
2020-02,2954.22,documented
2020-03,2584.59,documented
2020-04,2912.43,documented
2020-05,3044.31,documented
2020-06,3100.29,documented
2020-07,3271.12,documented
2020-08,3500.31,documented
2020-09,3363.0,documented
2020-10,3269.96,documented
2020-11,3621.63,documented
2020-12,3756.07,documented
2021-01,3714.24,documented
2021-02,3811.15,documented
2021-03,3972.89,documented
2021-04,4181.17,documented
2021-05,4204.11,documented
2021-06,4297.5,documented
2021-07,4395.26,documented
2021-08,4522.68,documented
2021-09,4307.54,documented
2021-10,4605.38,documented
2021-11,4567.0,documented
2021-12,4766.18,documented
2022-01,4515.55,documented
2022-02,4373.94,documented
2022-03,4530.41,documented
2022-04,4131.93,documented
2022-05,4132.15,documented
2022-06,3785.38,documented
2022-07,4130.29,documented
2022-08,3955.0,documented
2022-09,3585.62,documented
2022-10,3871.98,documented
2022-11,4080.11,documented
2022-12,3839.5,documented
2023-01,4076.6,documented
2023-02,3970.15,documented
2023-03,4109.31,documented
2023-04,4169.48,documented
2023-05,4179.83,documented
2023-06,4450.38,documented
2023-07,4588.96,documented
2023-08,4507.66,documented
2023-09,4288.05,documented
2023-10,4193.8,documented
2023-11,4567.8,documented
2023-12,4769.83,documented
2024-01,4845.65,documented
2024-02,5096.27,documented
2024-03,5254.35,documented
2024-04,5035.69,documented
2024-05,5277.51,documented
2024-06,5460.48,documented
2024-07,5522.3,documented
2024-08,5648.4,documented
2024-09,5762.48,documented
2024-10,5705.45,documented
2024-11,6032.38,documented
2024-12,5881.63,documented
2025-01,6040.53,documented
2025-02,5954.5,documented
2025-03,5611.85,documented
2025-04,5569.06,documented
2025-05,5911.69,documented
2025-06,6204.95,documented
2025-07,6339.39,documented
2025-08,6460.26,documented
2025-09,6688.46,documented
2025-10,6840.2,approx(±2%)
2025-11,6849.09,approx(±2%)
2025-12,6902.0,approx(±2%)
