date,type,price,ensuing_move,ensuing_end
1999-01-04,BOTTOM,2017.21,0.1368,1999-02-01
1999-02-01,TOP,2293.15,-0.1041,1999-02-17
1999-02-17,BOTTOM,2054.54,0.1556,1999-04-12
1999-04-12,TOP,2374.2,-0.0974,1999-04-19
1999-04-19,BOTTOM,2142.89,0.1306,1999-04-26
1999-04-26,TOP,2422.84,-0.1022,1999-05-25
1999-05-25,BOTTOM,2175.12,0.2031,1999-07-16
1999-07-16,TOP,2616.91,-0.1307,1999-08-10
1999-08-10,BOTTOM,2274.9,0.659,2000-01-03
2000-01-03,TOP,3774.11,-0.0978,2000-01-06
2000-01-06,BOTTOM,3405.0,0.1364,2000-01-21
2000-01-21,TOP,3869.35,-0.0822,2000-01-28
2000-01-28,BOTTOM,3551.12,0.2988,2000-03-10
2000-03-10,TOP,4612.28,-0.0923,2000-03-15
2000-03-15,BOTTOM,4186.56,0.083,2000-03-24
2000-03-24,TOP,4534.09,-0.3308,2000-04-14
2000-04-14,BOTTOM,3034.24,0.1422,2000-04-18
2000-04-18,TOP,3465.7,-0.082,2000-04-24
2000-04-24,BOTTOM,3181.5,0.1366,2000-05-01
2000-05-01,TOP,3615.99,-0.1449,2000-05-10
2000-05-10,BOTTOM,3092.2,0.0983,2000-05-16
2000-05-16,TOP,3396.27,-0.1488,2000-05-23
2000-05-23,BOTTOM,2891.05,0.3508,2000-07-17
2000-07-17,TOP,3905.22,-0.1442,2000-08-02
2000-08-02,BOTTOM,3342.27,0.1574,2000-09-01
2000-09-01,TOP,3868.37,-0.2739,2000-10-12
2000-10-12,BOTTOM,2808.94,0.1328,2000-10-20
2000-10-20,TOP,3182.1,-0.0838,2000-10-30
2000-10-30,BOTTOM,2915.58,0.0815,2000-11-03
2000-11-03,TOP,3153.27,-0.2473,2000-11-30
2000-11-30,BOTTOM,2373.4,0.1606,2000-12-11
2000-12-11,TOP,2754.51,-0.2263,2000-12-20
2000-12-20,BOTTOM,2131.16,0.0964,2000-12-28
2000-12-28,TOP,2336.7,-0.104,2001-01-02
2001-01-02,BOTTOM,2093.78,0.1417,2001-01-03
2001-01-03,TOP,2390.54,-0.0844,2001-01-08
2001-01-08,BOTTOM,2188.85,0.1933,2001-01-24
2001-01-24,TOP,2612.04,-0.4268,2001-04-04
2001-04-04,BOTTOM,1497.16,0.4119,2001-05-22
2001-05-22,TOP,2113.87,-0.0991,2001-05-30
2001-05-30,BOTTOM,1904.34,0.0861,2001-06-07
2001-06-07,TOP,2068.33,-0.1216,2001-06-18
2001-06-18,BOTTOM,1816.76,0.0864,2001-06-29
2001-06-29,TOP,1973.81,-0.3413,2001-09-21
2001-09-21,BOTTOM,1300.19,0.447,2002-01-04
2002-01-04,TOP,1881.39,-0.1666,2002-02-21
2002-02-21,BOTTOM,1567.91,0.1244,2002-03-08
2002-03-08,TOP,1762.89,-0.1844,2002-05-07
2002-05-07,BOTTOM,1437.8,0.1065,2002-05-17
2002-05-17,TOP,1590.89,-0.2942,2002-07-23
2002-07-23,BOTTOM,1122.83,0.0937,2002-07-30
2002-07-30,TOP,1228.02,-0.1028,2002-08-05
2002-08-05,BOTTOM,1101.78,0.1799,2002-08-22
2002-08-22,TOP,1299.97,-0.217,2002-10-09
2002-10-09,BOTTOM,1017.82,0.3355,2002-11-27
2002-11-27,TOP,1359.34,-0.1024,2002-12-31
2002-12-31,BOTTOM,1220.09,0.094,2003-01-14
2003-01-14,TOP,1334.72,-0.1297,2003-03-11
2003-03-11,BOTTOM,1161.58,0.694,2004-01-26
2004-01-26,TOP,1967.68,-0.117,2004-03-23
2004-03-23,BOTTOM,1737.43,0.0932,2004-04-05
2004-04-05,TOP,1899.43,-0.0974,2004-05-17
2004-05-17,BOTTOM,1714.45,0.0912,2004-06-30
