date,type,price,ensuing_move,ensuing_end
1999-01-04,BOTTOM,2017.21,1.2865,2000-03-10
2000-03-10,TOP,4612.28,-0.3421,2000-04-14
2000-04-14,BOTTOM,3034.24,0.1917,2000-05-01
2000-05-01,TOP,3615.99,-0.2005,2000-05-23
2000-05-23,BOTTOM,2891.05,0.3508,2000-07-17
2000-07-17,TOP,3905.22,-0.3923,2000-11-30
2000-11-30,BOTTOM,2373.4,0.1606,2000-12-11
2000-12-11,TOP,2754.51,-0.2399,2001-01-02
2001-01-02,BOTTOM,2093.78,0.2475,2001-01-24
2001-01-24,TOP,2612.04,-0.4268,2001-04-04
2001-04-04,BOTTOM,1497.16,0.4119,2001-05-22
2001-05-22,TOP,2113.87,-0.3849,2001-09-21
2001-09-21,BOTTOM,1300.19,0.447,2002-01-04
2002-01-04,TOP,1881.39,-0.4144,2002-08-05
2002-08-05,BOTTOM,1101.78,0.1799,2002-08-22
2002-08-22,TOP,1299.97,-0.217,2002-10-09
2002-10-09,BOTTOM,1017.82,0.9332,2004-01-26
2004-01-26,TOP,1967.68,-0.1863,2004-08-12
2004-08-12,BOTTOM,1601.03,0.6315,2007-10-31
2007-10-31,TOP,2612.01,-0.2413,2008-03-10
2008-03-10,BOTTOM,1981.85,0.1754,2008-06-05
2008-06-05,TOP,2329.56,-0.4094,2008-10-27
2008-10-27,BOTTOM,1375.75,0.1821,2008-11-04
2008-11-04,TOP,1626.27,-0.2607,2008-11-20
2008-11-20,BOTTOM,1202.37,0.2555,2009-01-06
2009-01-06,TOP,1509.57,-0.2322,2009-03-09
2009-03-09,BOTTOM,1158.99,0.9944,2010-04-23
2010-04-23,TOP,2311.48,-0.1733,2010-07-02
2010-07-02,BOTTOM,1911.0,0.3737,2011-04-29
2011-04-29,TOP,2625.19,-0.1871,2011-10-03
2011-10-03,BOTTOM,2133.95,1.2343,2015-07-20
2015-07-20,TOP,4767.81,-0.1824,2016-02-11
2016-02-11,BOTTOM,3898.07,0.9651,2018-08-29
2018-08-29,TOP,7660.18,-0.2299,2018-12-24
2018-12-24,BOTTOM,5899.35,0.6474,2020-02-19
2020-02-19,TOP,9718.73,-0.2803,2020-03-20
2020-03-20,BOTTOM,6994.29,1.3696,2021-11-19
2021-11-19,TOP,16573.34,-0.2128,2022-03-14
2022-03-14,BOTTOM,13046.64,0.1681,2022-03-29
2022-03-29,TOP,15239.32,-0.2698,2022-06-16
2022-06-16,BOTTOM,11127.57,0.2282,2022-08-15
2022-08-15,TOP,13667.18,-0.2186,2022-12-28
2022-12-28,BOTTOM,10679.34,1.0765,2025-02-19
2025-02-19,TOP,22175.6,-0.2293,2025-04-08
2025-04-08,BOTTOM,17090.4,0.7451,2026-07-10
