date,ndx,hyoas,vix,breadth,zone,score
2016-07-08,4528.36,588.0,13.2,0.7347,EASY,75.6
2016-07-11,4554.71,566.0,13.54,0.7959,EASY,75.6
2016-07-12,4577.61,546.0,13.55,0.8163,EASY,75.6
2016-07-13,4565.77,558.0,13.04,0.8163,EASY,75.6
2016-07-14,4596.49,544.0,12.82,0.8367,EASY,75.6
2016-07-15,4589.83,542.0,12.67,0.8367,EASY,75.6
2016-07-18,4619.68,544.0,12.44,0.8367,EASY,75.6
2016-07-19,4603.28,545.0,11.97,0.8367,EASY,75.6
2016-07-20,4657.2,540.0,11.77,0.8571,EASY,75.6
2016-07-21,4647.02,541.0,12.74,0.8571,EASY,72.4
2016-07-22,4666.07,539.0,12.02,0.8571,EASY,72.4
2016-07-25,4665.93,539.0,12.87,0.8571,EASY,72.4
2016-07-26,4672.11,545.0,13.05,0.8776,EASY,72.4
2016-07-27,4702.88,551.0,12.83,0.8571,EASY,72.4
2016-07-28,4721.41,554.0,12.72,0.8776,EASY,72.4
2016-07-29,4730.23,561.0,11.87,0.8776,EASY,72.4
2016-08-01,4756.04,569.0,12.44,0.898,EASY,72.4
2016-08-02,4719.21,573.0,13.37,0.898,EASY,72.4
2016-08-03,4734.33,572.0,12.86,0.9184,EASY,72.4
2016-08-04,4743.81,565.0,12.42,0.898,EASY,72.4
2016-08-05,4791.21,546.0,11.39,0.898,EASY,72.4
2016-08-08,4784.74,542.0,11.5,0.898,EASY,72.4
2016-08-09,4795.75,536.0,11.66,0.898,EASY,72.4
2016-08-10,4783.39,538.0,12.05,0.898,EASY,72.4
2016-08-11,4803.31,531.0,11.68,0.8776,EASY,72.4
2016-08-12,4807.08,534.0,11.55,0.8776,EASY,72.4
2016-08-15,4827.12,523.0,11.81,0.898,EASY,72.4
2016-08-16,4797.19,517.0,12.64,0.898,EASY,72.4
2016-08-17,4805.45,519.0,12.19,0.898,EASY,72.4
2016-08-18,4808.68,520.0,11.43,0.898,EASY,72.4
2016-08-19,4806.14,515.0,11.34,0.898,EASY,72.4
2016-08-22,4808.56,518.0,12.27,0.898,EASY,72.4
2016-08-23,4818.48,514.0,12.38,0.8776,EASY,72.4
2016-08-24,4783.49,513.0,13.45,0.8776,EASY,72.4
2016-08-25,4775.43,514.0,13.63,0.8776,EASY,72.4
2016-08-26,4783.69,504.0,13.65,0.8776,EASY,72.4
2016-08-29,4791.09,510.0,12.94,0.8571,EASY,72.4
2016-08-30,4775.99,507.0,13.12,0.8367,EASY,72.4
2016-08-31,4771.05,510.0,13.42,0.8571,EASY,72.4
2016-09-01,4783.94,512.0,13.48,0.8571,EASY,72.4
2016-09-02,4798.74,509.0,11.98,0.8571,EASY,72.4
2016-09-06,4829.51,509.0,12.02,0.8776,EASY,72.4
2016-09-07,4831.86,507.0,11.94,0.898,EASY,72.4
2016-09-08,4804.0,499.0,12.51,0.8776,EASY,72.4
2016-09-09,4681.54,510.0,17.5,0.7959,EASY,72.4
2016-09-12,4764.65,518.0,15.16,0.8776,EASY,72.4
2016-09-13,4722.85,524.0,17.85,0.8571,UNCERTAIN,66.3
2016-09-14,4746.06,526.0,18.14,0.8367,UNCERTAIN,66.3
2016-09-15,4819.9,526.0,16.3,0.8571,UNCERTAIN,66.3
2016-09-16,4818.05,527.0,15.37,0.8776,EASY,72.4
2016-09-19,4796.07,525.0,15.53,0.8571,EASY,72.4
2016-09-20,4805.22,524.0,15.92,0.8367,EASY,72.4
2016-09-21,4853.75,522.0,13.3,0.8571,EASY,72.4
2016-09-22,4891.36,509.0,12.02,0.8571,EASY,72.4
2016-09-23,4858.91,510.0,12.29,0.8367,EASY,72.4
2016-09-26,4817.17,516.0,14.5,0.8163,EASY,72.4
2016-09-27,4866.71,518.0,13.1,0.8571,EASY,72.4
2016-09-28,4875.27,514.0,12.39,0.8776,EASY,72.4
2016-09-29,4838.3,509.0,14.02,0.8163,EASY,72.4
2016-09-30,4875.7,497.0,13.29,0.8776,EASY,72.4
2016-10-03,4866.63,493.0,13.57,0.8571,EASY,72.4
2016-10-04,4859.47,485.0,13.63,0.8367,EASY,72.4
2016-10-05,4877.75,478.0,12.99,0.8571,EASY,72.4
2016-10-06,4873.92,475.0,12.84,0.8571,EASY,72.4
2016-10-07,4864.52,476.0,13.48,0.8163,EASY,72.4
2016-10-10,4893.77,476.0,13.38,0.8367,EASY,72.4
2016-10-11,4821.91,475.0,15.36,0.7959,EASY,72.4
2016-10-12,4819.64,475.0,15.91,0.8163,EASY,72.4
2016-10-13,4803.1,482.0,16.69,0.8367,UNCERTAIN,66.3
2016-10-14,4808.48,472.0,16.12,0.8367,UNCERTAIN,66.3
2016-10-17,4796.17,476.0,16.21,0.8163,UNCERTAIN,66.3
