ndx,hyoas,vix,breadth,ym,ndx_ret
4730.23,561.0,11.87,0.8776,2016-07,
4771.05,510.0,13.42,0.8571,2016-08,0.008629601520433683
4875.7,497.0,13.29,0.8776,2016-09,0.02193437503274942
4801.27,491.0,17.06,0.7959,2016-10,-0.015265500338412785
4810.81,467.0,13.33,0.7959,2016-11,0.0019869742797218315
4863.62,421.0,14.04,0.8163,2016-12,0.010977361400678731
5116.77,400.0,11.99,0.8571,2017-01,0.05204970783079288
5330.31,374.0,12.92,0.9184,2017-02,0.04173335913085796
5436.23,392.0,12.37,0.9184,2017-03,0.019871264523076304
5583.53,375.0,10.82,0.9184,2017-04,0.027095983797595036
5788.8,374.0,10.41,0.898,2017-05,0.03676348116693218
5646.92,377.0,11.18,0.8571,2017-06,-0.024509397457158633
5880.33,361.0,10.26,0.8571,2017-07,0.04133403696174187
5988.6,385.0,10.59,0.8571,2017-08,0.018412231966573378
5979.3,354.0,9.51,0.9184,2017-09,-0.0015529506061516818
6248.56,351.0,10.18,0.7959,2017-10,0.045032027160369914
6365.56,361.0,11.28,0.8776,2017-11,0.0187243140819644
6396.42,358.0,11.04,0.898,2017-12,0.004847963101439534
6949.99,329.0,13.54,0.9388,2018-01,0.08654372289499435
6854.42,347.0,19.85,0.8367,2018-02,-0.013751098922444416
6581.13,379.0,19.97,0.6939,2018-03,-0.039870623626798496
6605.57,346.0,15.93,0.5306,2018-04,0.0037136479601527217
6967.73,363.0,15.43,0.7551,2018-05,0.054826457065779266
7040.8,361.0,16.09,0.6531,2018-06,0.010486916111847044
7231.98,346.0,12.83,0.7755,2018-07,0.027153164413134867
7654.55,349.0,12.86,0.7959,2018-08,0.058430747872643574
7627.65,324.0,12.12,0.7143,2018-09,-0.0035142496946261037
6967.1,381.0,21.23,0.4286,2018-10,-0.08659941135212013
6949.01,429.0,18.07,0.5714,2018-11,-0.00259648921358957
6329.97,533.0,25.42,0.1837,2018-12,-0.0890831931454984
6906.84,437.0,16.57,0.5918,2019-01,0.09113313333238549
7097.53,392.0,14.78,0.7551,2019-02,0.027608863098030234
7378.77,399.0,13.71,0.8571,2019-03,0.039625052659164606
7781.46,373.0,13.12,0.8776,2019-04,0.054574136339796464
7127.96,459.0,18.71,0.6735,2019-05,-0.0839816692497295
7671.08,407.0,15.08,0.8367,2019-06,0.07619571378066103
7848.78,393.0,16.12,0.8776,2019-07,0.02316492592959518
7691.0,409.0,18.98,0.8163,2019-08,-0.02010248726553676
7749.45,402.0,16.24,0.7959,2019-09,0.007599791964634006
8083.83,415.0,13.22,0.8163,2019-10,0.043148868629386605
8403.68,401.0,12.62,0.898,2019-11,0.039566641059992635
8733.07,360.0,13.78,0.9388,2019-12,0.039195923690573675
8991.51,403.0,18.84,0.8776,2020-01,0.029593258728030314
8461.83,504.0,40.11,0.5306,2020-02,-0.05890890406616911
7813.5,877.0,53.54,0.3061,2020-03,-0.07661817833731
9000.51,763.0,34.15,0.4694,2020-04,0.15191783451718188
9555.53,671.0,27.51,0.7347,2020-05,0.06166539451653308
10156.85,644.0,30.43,0.7959,2020-06,0.06292900550780534
10905.88,516.0,24.46,0.7959,2020-07,0.07374628944997697
12110.7,502.0,26.41,0.8367,2020-08,0.11047434961690406
11418.06,541.0,26.37,0.8367,2020-09,-0.05719240010899462
11052.95,525.0,38.02,0.7959,2020-10,-0.031976535418451024
12268.32,433.0,20.57,0.9184,2020-11,0.1099588797560831
12888.28,386.0,22.75,0.9184,2020-12,0.050533406366968014
12925.38,379.0,33.09,0.898,2021-01,0.0028785842641529946
12909.44,352.0,27.95,0.8163,2021-02,-0.0012332326012851613
13091.44,435.9,19.4,0.9184,2021-03,0.01409821030191849
13860.76,429.2,18.61,0.9184,2021-04,0.05876511674804297
13686.51,413.7,16.76,0.8776,2021-05,-0.012571460727983208
14554.8,405.9,15.83,0.9592,2021-06,0.06344130095985023
