datetime,open,high,low,close,volume
2025-09-18,42.291,42.502,41.714,42.031,432700
2025-09-19,41.821,44.319,41.51,43.909,361061
2025-09-22,43.998,45.74,43.69,45.526,602717
2025-09-23,45.523,45.649,44.918,45.23,209747
2025-09-24,45.014,45.267,44.567,44.965,1240769
2025-09-25,45.184,45.489,44.066,44.332,929422
2025-09-26,44.394,44.726,44.093,44.677,1436836
2025-09-29,44.469,44.475,44.28,44.363,831076
2025-09-30,44.47,44.976,44.254,44.845,1515972
2025-10-01,44.767,45.023,42.865,42.872,1753315
2025-10-02,42.546,44.523,42.239,44.282,790884
2025-10-03,44.16,44.455,43.792,44.222,226218
2025-10-06,44.268,45.2,44.166,45.065,1517404
2025-10-07,45.18,45.339,44.805,45.246,480971
2025-10-08,45.276,45.464,44.686,45.306,304933
2025-10-09,45.315,46.601,44.82,46.301,1882181
2025-10-10,46.388,48.124,46.124,47.735,1889121
2025-10-13,47.695,48.256,47.657,48.095,136116
2025-10-14,48.321,48.472,48.13,48.429,1959657
2025-10-15,48.458,49.931,47.847,49.53,592396
2025-10-16,49.588,49.747,48.678,48.759,1683809
2025-10-17,48.864,49.161,46.723,47.101,849082
2025-10-20,46.902,47.519,46.529,47.207,1813771
2025-10-21,47.073,47.377,45.783,45.977,101112
2025-10-22,46.258,46.27,43.263,43.354,1306172
2025-10-23,43.412,43.468,41.573,41.717,645690
2025-10-24,41.669,41.939,40.156,40.325,1981005
2025-10-27,40.38,40.471,38.236,38.297,1245564
2025-10-28,38.223,38.301,35.917,36.122,1605190
2025-10-29,36.162,36.449,35.134,35.277,1269023
2025-10-30,35.183,35.279,35.158,35.201,154217
2025-10-31,35.24,35.369,34.146,34.389,1256624
2025-11-03,34.172,34.174,33.19,33.373,837986
2025-11-04,33.551,33.671,32.816,33.37,1336578
2025-11-05,33.301,33.881,33.206,33.784,432857
2025-11-06,33.57,33.639,33.137,33.608,1267495
2025-11-07,33.578,34.316,33.483,34.202,1654738
2025-11-10,34.151,35.641,34.111,35.303,165670
2025-11-11,35.324,35.705,35.137,35.522,878487
2025-11-12,35.359,35.394,35.189,35.295,1344088
2025-11-13,35.351,36.161,35.254,35.961,410558
2025-11-14,36.482,36.794,36.369,36.5,1209215
2025-11-17,36.313,37.929,36.297,37.656,300886
2025-11-18,37.707,37.915,36.71,36.755,513726
2025-11-19,36.709,36.748,36.115,36.255,298056
2025-11-20,36.283,36.505,35.279,35.518,897101
2025-11-21,35.26,35.31,34.006,34.034,1374976
2025-11-24,33.878,34.268,33.681,33.923,551583
2025-11-25,33.985,34.125,33.853,34.095,1784030
2025-11-26,34.09,34.35,33.252,33.351,1749194
2025-11-27,33.569,34.309,33.467,34.25,1420563
2025-11-28,34.154,35.08,33.624,34.846,629714
2025-12-01,34.87,35.493,34.816,35.439,1690285
2025-12-02,35.852,36.237,35.628,36.025,409511
2025-12-03,35.915,37.416,35.493,37.245,416369
2025-12-04,37.11,37.367,36.77,36.782,1613600
2025-12-05,36.777,38.365,36.718,38.063,1488809
2025-12-08,38.057,39.636,37.818,39.499,1546157
2025-12-09,39.632,40.113,38.582,38.977,874774
2025-12-10,38.997,40.5,38.924,40.31,1719128
2025-12-11,40.188,41.485,40.101,41.102,655403
2025-12-12,41.137,42.971,41.115,42.768,1386987
2025-12-15,43.219,43.475,42.85,43.162,857615
2025-12-16,43.382,44.232,43.091,43.76,891996
2025-12-17,43.273,44.55,43.207,44.483,1024141
2025-12-18,44.458,44.901,43.326,43.778,1003477
2025-12-19,43.624,44.393,43.587,44.265,1310436
2025-12-22,44.375,44.851,43.403,43.857,1154869
2025-12-23,43.827,44.548,43.563,43.855,1733724
2025-12-24,44.194,44.299,42.759,42.765,1232395
2025-12-25,42.924,43.73,42.688,43.138,1990516
2025-12-26,43.292,43.446,42.771,43.049,1895878
2025-12-29,43.081,43.296,41.9,42.271,1848225
2025-12-30,42.265,42.372,42.196,42.344,604284
2025-12-31,42.402,43.215,42.258,43.132,1726603
2026-01-01,43.355,44.764,42.973,44.599,1559995
2026-01-02,44.694,45.135,42.732,42.971,1390963
2026-01-05,42.911,44.161,42.849,43.836,132154
2026-01-06,44.06,44.566,44.037,44.416,1274738
2026-01-07,44.45,44.611,44.437,44.519,461448
2026-01-08,44.505,44.886,43.449,43.751,489326
2026-01-09,43.612,45.591,43.443,45.154,1894334
2026-01-12,45.051,45.578,43.863,44.003,1121742
2026-01-13,43.891,44.766,43.869,44.511,577050
2026-01-14,44.014,46.067,43.948,45.591,1182728
2026-01-15,45.777,45.792,43.567,43.633,1071004
2026-01-16,43.732,43.774,42.242,42.792,637471
2026-01-19,42.756,43.141,40.739,40.897,1841323
2026-01-20,41.068,41.124,40.262,40.326,1675435
2026-01-21,40.396,40.89,40.327,40.811,1343685
2026-01-22,40.872,42.121,40.72,41.741,1702241
2026-01-23,41.328,41.648,39.189,39.298,1028068
2026-01-26,39.261,39.472,37.974,38.073,1756661
2026-01-27,38.154,38.475,37.845,38.072,1433463
2026-01-28,38.317,39.355,37.973,38.988,1308854
2026-01-29,39.275,39.54,39.124,39.129,1958901
2026-01-30,39.352,39.571,38.211,38.493,141281
2026-02-02,38.314,39.003,38.258,38.968,1888282
2026-02-03,38.626,39.637,38.354,39.383,893173
2026-02-04,39.473,39.86,39.249,39.816,444393
2026-02-05,39.821,40.227,39.809,39.92,239715
2026-02-06,40.074,41.511,39.735,41.109,366065
2026-02-09,41.088,42.545,40.943,42.287,599530
2026-02-10,42.324,43.117,42.245,43.086,647104
2026-02-11,42.827,43.741,42.463,43.691,1445904
2026-02-12,43.77,44.086,42.914,43.155,375734
2026-02-13,43.078,43.595,42.541,43.226,401387
2026-02-16,43.287,44.776,43.18,44.767,1551705
2026-02-17,44.849,44.905,44.719,44.79,531977
2026-02-18,44.769,44.911,43.129,43.455,1684173
2026-02-19,43.51,44.826,42.948,44.7,1089067
2026-02-20,44.697,45.231,44.344,45.106,367349
2026-02-23,45.243,47.174,44.567,47.107,689408
2026-02-24,47.201,47.307,46.624,47.07,239019
2026-02-25,46.967,47.099,46.344,46.582,1143639
2026-02-26,46.472,46.501,45.131,45.235,715120
2026-02-27,45.55,47.029,44.883,46.845,669704
2026-03-02,46.826,50.047,46.799,50.039,1405150
2026-03-03,50.238,50.347,49.643,49.78,689909
2026-03-04,49.858,50.536,49.812,49.857,1563427
2026-03-05,49.745,51.576,49.34,51.425,492723
2026-03-06,51.271,51.545,51.121,51.45,975318
2026-03-09,51.475,52.552,51.446,52.094,631875
2026-03-10,52.148,53.219,52.04,52.563,1314200
2026-03-11,52.692,54.069,52.574,53.509,1766643
2026-03-12,53.238,55.729,52.904,55.334,1843333
2026-03-13,55.202,55.644,54.762,55.606,1724264
2026-03-16,55.585,57.507,55.251,56.678,1772418
2026-03-17,57.041,57.174,55.475,55.777,1225514
2026-03-18,55.25,55.905,54.727,55.503,323655
2026-03-19,55.6,55.674,51.949,52.069,1320767
2026-03-20,51.957,52.725,49.174,49.412,1455143
2026-03-23,49.498,50.185,49.132,49.149,1199177
2026-03-24,49.052,49.352,47.192,47.372,1575517
