datetime,open,high,low,close,volume,dif,dea,hist,hist_pct,run_sign,run_bars,run_area,run_depth,prev_sign,prev_bars,prev_area,prev_depth,cross_up,cross_dn,neg_ok,pos_ok,buy_sig,sell_sig,neg_cluster_end,pos_cluster_end,in_session,entry_ok,eod,equity
2025-09-18,42.291,42.502,41.714,42.031,432700,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,False,False,False,False,False,False,False,False,True,True,False,1.0
2025-09-19,41.821,44.319,41.51,43.909,361061,0.14981196581196343,0.029962393162392686,0.11984957264957075,0.2729499024108286,1,1,0.2729499024108286,0.2729499024108286,0,0,0.0,0.0,True,False,False,False,False,False,False,False,True,True,False,1.0
2025-09-22,43.998,45.74,43.69,45.526,602717,0.3944702072223407,0.1028639559743823,0.2916062512479584,0.6405268445458823,1,2,0.9134767469567109,0.6405268445458823,1,1,0.2729499024108286,0.2729499024108286,False,False,False,False,False,False,False,False,True,True,False,1.0
2025-09-23,45.523,45.649,44.918,45.23,209747,0.5580460920057106,0.19390038318064798,0.3641457088250627,0.8050977422619118,1,3,1.7185744892186228,0.8050977422619118,1,2,0.9134767469567109,0.6405268445458823,False,False,False,False,False,False,False,False,True,True,False,1.0
2025-09-24,45.014,45.267,44.567,44.965,1240769,0.6587047357305025,0.2868612536906189,0.3718434820398836,0.8269620416766009,1,4,2.5455365308952236,0.8269620416766009,1,3,1.7185744892186228,0.8050977422619118,False,False,False,False,False,False,False,False,True,True,False,1.0
2025-09-25,45.184,45.489,44.066,44.332,929422,0.6795660123156821,0.3654022054156315,0.31416380690005064,0.7086614790671538,1,5,3.2541980099623773,0.8269620416766009,1,4,2.5455365308952236,0.8269620416766009,False,False,False,False,False,False,False,False,True,True,False,1.0
2025-09-26,44.394,44.726,44.093,44.677,1436836,0.7156873428332418,0.43545923289915356,0.2802281099340882,0.6272312597848742,1,6,3.8814292697472514,0.8269620416766009,1,5,3.2541980099623773,0.8269620416766009,False,False,False,False,False,False,False,False,True,True,False,1.0
2025-09-29,44.469,44.475,44.28,44.363,831076,0.7107831163973231,0.4905240095987875,0.22025910679853555,0.49649281337721873,1,7,4.37792208312447,0.8269620416766009,1,6,3.8814292697472514,0.8269620416766009,False,False,False,False,False,False,False,False,True,True,False,1.0
2025-09-30,44.47,44.976,44.254,44.845,1515972,0.7372908237036953,0.5398773724197691,0.19741345128392618,0.4402128471043064,1,8,4.818134930228776,0.8269620416766009,1,7,4.37792208312447,0.8269620416766009,False,False,False,False,False,False,False,False,True,True,False,1.0
2025-10-01,44.767,45.023,42.865,42.872,1753315,0.5922664824342831,0.5503551944226719,0.04191128801161126,0.09775911553370792,1,9,4.915894045762484,0.8269620416766009,1,8,4.818134930228776,0.8269620416766009,False,False,False,False,False,False,False,False,True,True,False,1.0
